1,73,4
2,126,
3,117,379
4,140,
5,70,134
6,21,
7,14,204
8,14,85
9,14,120
10,14,253
11,14,231
12,130,27
13,130,122
14,146,
15,17,207
16,17,62
17,17,95
18,17,26
19,135,207
20,135,62
21,135,95
22,135,26
23,64,364
24,2,29
25,60,29
26,119,
27,68,31
28,37,212
29,63,32
30,122,32
31,19,33
32,48,36
33,54,37
34,54,294
35,54,344
36,54,301
37,54,339
38,90,165
39,65,294
40,65,344
41,65,4
42,65,348
43,49,48
44,141,4
45,141,418
46,141,108
47,141,344
48,141,294
49,1,
50,5,
51,75,59
52,24,66
53,24,294
54,24,375
55,164,68
56,101,459
57,20,73
58,20,191
59,20,288
60,20,366
61,20,57
62,172,
63,22,74
64,22,278
65,129,77
66,129,295
67,129,123
68,131,
69,53,371
70,53,82
71,92,
72,87,93
73,87,360
74,160,97
75,78,100
76,36,300
77,36,362
78,36,243
79,36,203
80,36,475
81,36,300
82,36,362
83,36,243
84,36,203
85,9,477
86,91,103
87,32,105
88,106,106
89,10,110
90,58,372
91,58,413
92,58,318
93,58,90
94,58,308
95,61,112
96,102,139
97,102,403
98,102,147
99,102,398
100,139,
101,161,127
102,159,129
103,145,346
104,145,423
105,145,426
106,145,19
107,120,453
108,96,136
109,74,15
110,74,377
111,74,313
112,74,362
113,174,15
114,174,377
115,174,313
116,174,362
117,67,150
118,67,236
119,67,141
120,67,289
121,67,304
122,45,236
123,45,104
124,45,211
125,45,248
126,45,234
127,69,454
128,35,152
129,137,237
130,137,269
131,137,13
132,137,76
133,137,419
134,138,
135,149,
136,55,167
137,123,513
138,169,170
139,165,514
140,72,265
141,72,106
142,72,63
143,72,86
144,72,113
145,72,215
146,29,171
147,26,183
148,86,188
149,158,
150,136,
151,25,200
152,88,202
153,23,
154,71,
155,11,
156,13,238
157,13,287
158,13,144
159,13,160
160,97,526
161,98,527
162,108,470
163,51,216
164,150,219
165,18,222
166,94,
167,162,223
168,173,488
169,59,
170,7,
171,103,
172,153,381
173,153,405
174,153,114
175,153,395
176,153,8
177,127,
178,176,
179,133,242
180,28,245
181,99,459
182,100,524
183,166,460
184,110,
185,143,
186,33,258
187,170,259
188,50,551
189,178,263
190,44,263
191,77,296
192,77,268
193,77,377
194,77,247
195,77,347
196,77,430
197,77,333
198,77,429
199,77,297
200,121,
201,148,266
202,107,556
203,142,273
204,30,557
205,8,
206,62,
207,93,294
208,134,307
209,134,117
210,134,276
211,134,375
212,171,570
213,66,177
214,66,132
215,66,345
216,66,322
217,66,406
218,66,9
219,179,331
220,179,18
221,179,199
222,179,4
223,179,55
224,179,19
225,31,356
226,31,86
227,31,89
228,31,19
229,31,184
230,31,75
231,154,311
232,154,224
233,154,248
234,154,349
235,15,315
236,15,313
237,128,315
238,128,313
239,116,
240,16,580
241,147,336
242,147,1
243,147,65
244,147,312
245,57,340
246,95,344
247,85,348
248,6,588
249,111,
250,27,
251,41,352
252,34,354
253,34,86
254,34,265
255,34,106
256,34,370
257,155,
258,12,
259,115,
260,168,
261,42,
262,56,368
263,56,432
264,56,361
265,56,94
266,52,369
267,3,
268,104,
269,89,
270,118,
271,76,344
272,76,348
273,76,4
274,76,294
275,76,375
276,76,270
277,76,190
278,125,
279,114,
280,175,393
281,163,396
282,151,
283,152,
284,132,
285,180,414
286,177,620
287,167,
288,105,
289,109,
290,144,435
