1,117,5
2,117,27
3,86,6
4,86,10
5,86,27
6,97,27
7,97,11
8,155,1
9,120,8
10,120,12
11,120,27
12,120,5
13,32,16
14,32,18
15,36,16
16,36,18
17,34,16
18,34,18
19,54,16
20,54,18
21,72,16
22,72,18
23,50,16
24,50,18
25,35,16
26,35,18
27,29,16
28,29,18
29,25,16
30,25,18
31,74,16
32,74,18
33,51,9
34,51,15
35,43,6
36,43,10
37,43,12
38,43,27
39,28,3
40,28,10
41,28,12
42,28,6
43,28,27
44,90,27
45,90,6
46,125,12
47,125,27
48,23,12
49,23,6
50,23,27
51,14,7
52,14,27
53,64,15
54,81,15
55,110,15
56,110,26
57,61,27
58,61,14
59,94,12
60,94,27
61,108,26
62,63,15
63,63,27
64,167,6
65,167,10
66,167,12
67,167,27
68,92,27
69,92,5
70,67,6
71,67,27
72,67,10
73,116,27
74,116,5
75,132,1
76,71,16
77,71,27
78,131,4
79,131,9
80,115,12
81,115,27
82,145,16
83,145,24
84,47,10
85,47,27
86,143,14
87,143,27
88,91,2
89,91,3
90,91,5
91,91,6
92,91,8
93,91,10
94,91,12
95,101,26
96,56,27
97,56,22
98,6,3
99,6,10
100,6,12
101,6,6
102,6,17
103,80,3
104,80,10
105,80,12
106,80,6
107,80,17
108,37,13
109,37,27
110,37,23
111,19,13
112,19,27
113,19,23
114,24,13
115,24,27
116,24,23
117,121,6
118,121,10
119,121,12
120,121,27
121,122,11
122,122,27
123,44,6
124,44,27
125,16,6
126,16,27
127,41,12
128,41,27
129,11,27
130,11,10
131,133,1
132,85,10
133,85,6
134,85,27
135,100,26
136,148,16
137,148,27
138,52,3
139,52,10
140,52,6
141,52,27
142,22,27
143,22,10
144,114,15
145,114,26
146,62,6
147,62,27
148,107,4
149,107,9
150,113,6
151,113,10
152,113,12
153,113,27
154,119,14
155,119,27
156,1,17
157,123,2
158,123,27
159,46,6
160,46,10
161,46,27
162,156,1
163,126,10
164,126,27
165,10,10
166,10,27
167,10,14
168,168,10
169,168,27
170,83,6
171,83,10
172,83,27
173,111,7
174,111,27
175,58,7
176,58,27
177,109,26
178,17,10
179,17,12
180,17,6
181,17,27
182,102,26
183,166,1
184,30,11
185,30,27
186,21,11
187,21,27
188,5,17
189,79,17
190,39,11
191,39,27
192,31,15
193,31,27
194,40,27
195,40,8
196,4,17
197,112,12
198,112,27
199,9,10
200,9,27
201,104,26
202,65,10
203,65,27
204,89,2
205,89,27
206,8,10
207,8,23
208,8,27
209,13,10
210,13,27
211,45,6
212,45,10
213,45,12
214,45,27
215,88,2
216,88,27
217,118,6
218,118,10
219,118,12
220,118,27
221,15,6
222,15,10
223,15,12
224,15,27
225,12,10
226,12,27
227,53,13
228,53,27
229,27,13
230,27,27
231,7,13
232,7,27
233,38,13
234,38,27
235,93,13
236,93,27
237,2,17
238,76,17
239,130,3
240,130,6
241,130,10
242,130,12
243,130,27
244,96,12
245,96,27
246,59,27
247,59,6
248,18,27
249,57,5
250,57,14
251,57,23
252,57,27
253,165,24
254,165,27
255,157,21
256,127,10
257,127,6
258,127,27
259,3,17
260,77,17
261,60,6
262,60,10
263,60,27
264,124,3
265,124,6
266,124,10
267,124,27
268,99,15
269,99,27
270,48,6
271,48,10
272,48,27
273,144,16
274,144,20
275,144,27
276,49,6
277,49,10
278,49,27
279,49,12
280,42,3
281,42,10
282,42,12
283,42,6
284,42,27
285,169,26
286,103,26
287,95,14
288,95,27
289,82,3
290,82,6
291,82,10
292,82,27
293,26,6
294,26,10
295,26,27
296,98,8
297,98,12
298,98,27
299,146,25
300,146,27
301,68,10
302,68,27
303,66,10
304,66,27
305,20,15
306,20,27
