1,418,2,1,0,433,0
2,419,2,1,0,434,0
3,420,2,1,0,435,0
4,421,2,1,0,436,0
5,422,2,1,0,437,0
6,423,2,1,0,438,0
7,424,2,1,0,439,0
8,425,2,1,0,440,0
9,426,2,1,0,441,0
10,427,2,1,0,442,0
11,428,2,1,0,443,0
12,429,2,1,0,444,0
13,430,2,1,0,445,0
14,431,2,1,0,446,0
15,432,2,1,0,447,0
16,433,2,0,1,0,418
17,434,2,0,1,0,419
18,435,2,0,1,0,420
19,436,2,0,1,0,421
20,437,2,0,1,0,422
21,438,2,0,1,0,423
22,439,2,0,1,0,424
23,440,2,0,1,0,425
24,441,2,0,1,0,426
25,442,2,0,1,0,427
26,443,2,0,1,0,428
27,444,2,0,1,0,429
28,445,2,0,1,0,430
29,446,2,0,1,0,431
30,447,2,0,1,0,432
