1,73,427
2,73,321
3,73,2
4,73,318
5,126,161
6,117,334
7,117,337
8,117,423
9,117,331
10,117,29
11,140,
12,70,215
13,70,106
14,70,321
15,70,318
16,21,318
17,21,413
18,14,207
19,14,198
20,14,392
21,14,20
22,14,40
23,130,77
24,130,93
25,130,2
26,130,62
27,146,
28,17,113
29,17,369
30,17,354
31,17,252
32,135,113
33,135,369
34,135,354
35,135,252
36,64,141
37,64,143
38,64,142
39,64,136
40,64,363
41,2,141
42,2,143
43,2,142
44,2,136
45,2,363
46,60,141
47,60,143
48,60,142
49,60,136
50,60,363
51,119,141
52,119,143
53,119,142
54,119,136
55,119,363
56,68,141
57,68,143
58,68,142
59,68,136
60,68,363
61,37,141
62,37,143
63,37,142
64,37,136
65,37,363
66,63,143
67,63,142
68,63,136
69,63,363
70,122,143
71,122,142
72,122,136
73,122,363
74,19,143
75,19,142
76,19,136
77,19,363
78,48,290
79,48,402
80,48,43
81,54,427
82,54,438
83,54,200
84,54,93
85,54,63
86,90,135
87,65,37
88,65,49
89,65,57
90,65,427
91,65,319
92,49,327
93,49,144
94,49,166
95,49,157
96,49,239
97,49,241
98,141,427
99,141,45
100,141,23
101,141,63
102,1,
103,5,
104,75,60
105,75,221
106,75,295
107,75,360
108,75,202
109,75,316
110,24,431
111,24,430
112,24,429
113,24,432
114,164,199
115,164,18
116,164,324
117,164,43
118,164,329
119,101,60
120,101,202
121,101,295
122,20,283
123,20,63
124,20,380
125,20,86
126,20,307
127,172,
128,22,51
129,22,359
130,22,52
131,129,317
132,129,356
133,129,398
134,129,114
135,131,
136,53,94
137,53,45
138,53,77
139,92,
140,87,411
141,160,90
142,160,104
143,160,28
144,160,426
145,78,297
146,78,182
147,78,1
148,36,393
149,36,98
150,36,265
151,36,393
152,36,98
153,36,265
154,9,452
155,9,453
156,9,454
157,91,363
158,32,77
159,32,416
160,32,2
161,106,77
162,106,416
163,106,2
164,10,167
165,10,340
166,10,131
167,10,192
168,58,355
169,61,143
170,61,142
171,61,136
172,61,363
173,102,226
174,102,137
175,102,2
176,102,376
177,102,251
178,139,
179,161,118
180,161,358
181,161,287
182,161,202
183,161,164
184,159,360
185,159,118
186,159,222
187,159,43
188,159,316
189,145,235
190,145,237
191,145,236
192,120,210
193,120,394
194,120,395
195,96,321
196,96,103
197,96,318
198,96,413
199,74,163
200,74,262
201,74,416
202,74,154
203,74,224
204,174,163
205,174,262
206,174,416
207,174,154
208,174,224
209,67,256
210,67,137
211,67,246
212,67,293
213,67,189
214,45,137
215,45,256
216,45,423
217,45,146
218,45,284
219,69,444
220,69,239
221,35,83
222,35,83
223,35,318
224,35,280
225,35,386
226,35,96
227,35,44
228,35,215
229,35,404
230,35,2
231,137,51
232,137,52
233,137,64
234,137,70
235,137,314
236,138,
237,149,
238,55,215
239,55,106
240,55,83
241,55,318
242,55,176
243,123,2
244,123,137
245,123,172
246,169,101
247,169,108
248,169,43
249,165,222
250,72,281
251,72,433
252,72,264
253,29,186
254,29,51
255,29,93
256,29,102
257,29,77
258,29,52
259,26,70
260,26,65
261,26,76
262,26,63
263,26,112
264,26,50
265,26,130
266,86,220
267,86,178
268,86,325
269,86,43
270,86,221
271,86,347
272,86,93
273,86,77
274,86,187
275,158,
276,136,
277,25,434
278,25,435
279,25,102
280,25,63
281,88,411
282,23,
283,71,
284,11,
285,13,174
286,13,99
287,13,16
288,13,367
289,97,81,1
290,97,97
291,97,112,9
292,97,128,8
293,97,144,7
294,98,280
295,98,46
296,98,47
297,98,413
298,98,176
299,108,93
300,108,25
301,108,22
302,108,2
303,51,418
304,51,421
305,150,300
306,150,326
307,150,347
308,150,22
309,150,336
310,18,307
311,18,54
312,18,379
313,94,
314,162,323
315,162,287
316,162,43
317,162,360
318,173,30
319,173,217
320,173,267
321,173,416
322,59,
323,7,
324,103,
325,153,396
326,153,39
327,153,140
328,153,139
329,153,95
330,153,288
331,127,
332,176,
333,133,215
334,133,399
335,133,8
336,28,378
337,28,413
338,28,425
339,28,368
340,28,318
341,99,176
342,99,280
343,99,46
344,99,47
345,100,318
346,100,280
347,166,361
348,166,43
349,166,221
350,110,
351,143,
352,33,406
353,33,107
354,33,377
355,33,93
356,33,47
357,170,405
358,170,388
359,170,106
360,170,321
361,170,318
362,50,60
363,50,360
364,178,199
365,178,287
366,178,164
367,178,43
368,178,221
369,44,199
370,44,287
371,44,164
372,44,43
373,44,221
374,77,2
375,77,218
376,77,125
377,121,
378,148,215
379,148,318
380,148,2
381,107,354
382,107,73
383,142,63
384,142,254
385,142,283
386,142,86
387,30,215
388,30,318
389,30,77
390,30,455
391,30,2
392,8,
393,62,
394,93,87
395,93,428
396,93,433
397,93,
398,134,235
399,134,237
400,134,236
401,171,235
402,171,195
403,171,45
404,66,235
405,66,237
406,66,236
407,179,235
408,179,237
409,179,236
410,31,235
411,31,237
412,31,236
413,154,299
414,15,163
415,15,262
416,128,163
417,128,262
418,116,
419,16,93
420,16,286
421,16,25
422,16,310
423,16,456
424,16,115
425,147,77
426,57,30
427,57,137
428,57,367
429,57,172
430,57,156
431,95,427
432,95,417
433,95,409
434,85,57
435,85,318
436,85,427
437,85,49
438,6,457
439,6,458
440,111,
441,27,
442,41,459
443,41,264
444,41,2
445,34,280
446,34,318
447,34,195
448,34,45
449,34,427
450,155,
451,12,
452,115,
453,168,
454,42,
455,56,245
456,56,88
457,56,49
458,56,93
459,56,264
460,52,118
461,52,316
462,52,168
463,52,101
464,52,387
465,3,
466,104,
467,89,
468,118,
469,76,37
470,76,460
471,76,248
472,76,57
473,76,427
474,125,
475,114,
476,175,164
477,175,175
478,175,43
479,175,322
480,175,287
481,163,312
482,163,43
483,163,56
484,151,
485,152,
486,132,
487,180,150
488,180,148
489,180,149
490,180,151
491,180,152
492,177,176
493,177,280
494,177,115
495,177,286
496,167,
497,105,
498,109,
499,144,202
