1,73,3
2,73,6
3,73,10
4,73,12
5,126,16
6,126,25
7,117,23
8,117,27
9,140,
10,70,6
11,70,10
12,70,27
13,21,10
14,21,27
15,14,27
16,14,11
17,130,10
18,130,27
19,146,
20,17,8
21,17,12
22,17,27
23,17,5
24,135,8
25,135,12
26,135,27
27,135,5
28,64,16
29,64,18
30,2,16
31,2,18
32,60,16
33,60,18
34,119,16
35,119,18
36,68,16
37,68,18
38,37,16
39,37,18
40,63,16
41,63,18
42,122,16
43,122,18
44,19,16
45,19,18
46,48,9
47,48,15
48,54,6
49,54,10
50,54,12
51,54,27
52,90,1
53,65,3
54,65,10
55,65,12
56,65,6
57,65,27
58,49,4
59,49,9
60,141,12
61,141,6
62,141,27
63,1,
64,5,
65,75,15
66,24,12
67,24,27
68,164,26
69,101,15
70,20,6
71,20,10
72,20,12
73,20,27
74,172,
75,22,10
76,22,27
77,129,11
78,129,27
79,131,
80,53,10
81,53,27
82,92,
83,87,1
84,160,26
85,78,4
86,78,9
87,36,2
88,36,22
89,36,20
90,9,22
91,91,1
92,91,16
93,32,12
94,32,27
95,106,6
96,106,10
97,106,27
98,10,16
99,10,24
100,58,10
101,58,27
102,61,16
103,61,18
104,102,13
105,102,27
106,139,
107,161,26
108,159,26
109,145,13
110,145,27
111,120,27
112,120,22
113,96,6
114,96,10
115,96,27
116,74,3
117,74,10
118,74,12
119,74,6
120,74,17
121,174,3
122,174,10
123,174,12
124,174,6
125,174,17
126,67,13
127,67,27
128,67,23
129,45,13
130,45,27
131,45,23
132,69,11
133,69,27
134,35,6
135,35,27
136,137,6
137,137,27
138,138,
139,149,
140,55,10
141,55,6
142,55,27
143,123,27
144,123,10
145,123,23
146,169,26
147,165,26
148,72,3
149,72,10
150,72,6
151,72,27
152,29,27
153,29,10
154,26,6
155,26,27
156,86,4
157,86,9
158,158,
159,136,
160,25,6
161,25,10
162,25,27
163,88,1
164,23,
165,71,
166,11,
167,13,10
168,13,27
169,13,14
170,97,24
171,97,27
172,98,10
173,98,27
174,108,10
175,108,27
176,51,6
177,51,10
178,51,27
179,150,7
180,150,27
181,18,10
182,18,12
183,18,6
184,18,27
185,94,
186,162,26
187,173,27
188,173,10
189,59,
190,7,
191,103,
192,153,11
193,153,27
194,127,
195,176,
196,133,6
197,133,10
198,133,27
199,28,12
200,28,27
201,99,10
202,99,27
203,100,6
204,100,10
205,100,27
206,166,26
207,110,
208,143,
209,33,10
210,33,27
211,170,6
212,170,10
213,170,12
214,170,27
215,50,15
216,50,27
217,178,15
218,178,26
219,44,15
220,44,26
221,77,2
222,77,27
223,121,
224,148,10
225,148,27
226,107,12
227,107,27
228,142,6
229,142,10
230,142,12
231,142,27
232,30,10
233,30,27
234,8,
235,62,
236,93,3
237,93,6
238,93,10
239,93,27
240,134,13
241,134,27
242,171,6
243,171,10
244,171,27
245,66,13
246,66,27
247,179,13
248,179,27
249,31,13
250,31,27
251,154,14
252,154,27
253,15,17
254,128,17
255,116,
256,16,10
257,16,27
258,147,10
259,147,27
260,147,6
261,57,5
262,57,14
263,57,23
264,57,27
265,95,3
266,95,6
267,95,10
268,95,27
269,85,3
270,85,6
271,85,10
272,85,27
273,6,21
274,111,
275,27,
276,41,10
277,41,6
278,41,27
279,34,6
280,34,10
281,34,27
282,155,
283,12,
284,115,
285,168,
286,42,
287,56,6
288,56,10
289,56,27
290,52,9
291,52,15
292,3,
293,104,
294,89,
295,118,
296,76,3
297,76,10
298,76,12
299,76,6
300,76,27
301,125,
302,114,
303,175,26
304,163,26
305,151,
306,152,
307,132,
308,180,25
309,180,27
310,177,10
311,177,27
312,167,
313,105,
314,109,
315,144,15
316,144,27
