1,117,439
2,86,134
3,97,204
4,97,85
5,97,253
6,120,207
7,120,62
8,120,95
9,120,26
10,32,41
11,36,42
12,34,112
13,54,29
14,72,29
15,50,31
16,35,32
17,29,33
18,25,34
19,74,364
20,51,36
21,43,37
22,43,294
23,43,344
24,43,301
25,43,339
26,28,294
27,28,344
28,28,4
29,28,348
30,90,44
31,125,53
32,23,4
33,23,418
34,23,108
35,23,344
36,23,294
37,14,58
38,64,59
39,81,59
40,110,60
41,61,65
42,94,66
43,94,294
44,94,375
45,108,68
46,63,448
47,167,73
48,167,191
49,167,288
50,167,366
51,167,57
52,92,91
53,67,621
54,116,466
55,132,93
56,132,360
57,71,96
58,131,622
59,115,105
60,145,110
61,47,372
62,47,413
63,47,318
64,47,90
65,47,308
66,143,451
67,91,569
68,91,449
69,91,584
70,91,455
71,101,127
72,56,453
73,6,15
74,6,377
75,6,313
76,6,362
77,80,15
78,80,377
79,80,313
80,80,362
81,37,150
82,37,236
83,37,141
84,37,289
85,37,304
86,19,236
87,19,104
88,19,211
89,19,248
90,19,234
91,24,392
92,24,421
93,24,102
94,24,264
95,24,51
96,24,612
97,24,488
98,24,472
99,24,618
100,24,595
101,121,151
102,122,454
103,44,152
104,16,237
105,16,269
106,16,13
107,16,76
108,16,419
109,41,157
110,11,162
111,133,202
112,85,167
113,100,170
114,148,377
115,148,468
116,148,469
117,52,265
118,52,106
119,52,63
120,52,86
121,52,113
122,52,215
123,22,171
124,114,516
125,62,183
126,107,188
127,113,190
128,1,193
129,123,197
130,46,200
131,156,202
132,126,205
133,10,238
134,10,287
135,10,144
136,10,160
137,168,470
138,83,216
139,111,467
140,58,465
141,109,220
142,17,222
143,102,223
144,166,225
145,166,226
146,166,227
147,166,228
148,166,229
149,30,455
150,21,230
151,5,456
152,5,313
153,5,407
154,5,15
155,5,377
156,5,362
157,79,456
158,79,313
159,79,407
160,79,15
161,79,377
162,79,362
163,39,381
164,39,405
165,39,114
166,39,395
167,39,8
168,31,457
169,40,241
170,4,458
171,112,245
172,9,459
173,104,460
174,65,542
175,89,461
176,8,248
177,8,549
178,8,589
179,8,578
180,8,573
181,13,258
182,45,259
183,88,296
184,88,268
185,88,377
186,88,247
187,88,347
188,88,430
189,88,333
190,88,429
191,88,297
192,118,273
193,15,274
194,12,557
195,53,177
196,53,132
197,53,345
198,53,322
199,53,406
200,53,9
201,27,331
202,27,18
203,27,199
204,27,4
205,27,55
206,27,19
207,7,356
208,7,86
209,7,89
210,7,19
211,7,184
212,7,75
213,38,356
214,38,86
215,38,89
216,38,19
217,38,184
218,38,75
219,93,307
220,93,117
221,93,276
222,93,375
223,2,315
224,2,313
225,76,315
226,76,313
227,130,319
228,130,159
229,130,344
230,130,294
231,130,4
232,130,348
233,96,327
234,59,338
235,18,463
236,57,340
237,165,464
238,157,588
239,127,352
240,3,255
241,3,394
242,3,350
243,3,71
244,3,40
245,77,255
246,77,394
247,77,350
248,77,71
249,77,40
250,60,354
251,60,86
252,60,265
253,60,106
254,60,370
255,124,159
256,124,344
257,124,294
258,124,4
259,124,348
260,99,367
261,48,368
262,48,432
263,48,361
264,48,94
265,144,373
266,49,375
267,42,344
268,42,348
269,42,4
270,42,294
271,42,375
272,42,270
273,42,190
274,169,393
275,103,396
276,95,248
277,95,471
278,82,159
279,82,344
280,82,294
281,82,4
282,82,348
283,26,401
284,98,616
285,98,257
286,98,446
287,98,123
288,98,207
289,146,414
290,68,620
291,66,428
292,20,435
